function,Mhash_s,ns_per_hash,checksum_hex,loops,N
MS,1122.925939,0.890531,0xaed2296c,5000,500000
SimpleTab32,699.826261,1.428926,0x0,5000,500000
Tornado32_D4,370.711842,2.697513,0x0,5000,500000
Tornado32_D1,729.306454,1.371168,0x0,5000,500000
RapidHash32,466.197407,2.145014,0x0,5000,500000
Tornado32_D2,508.967223,1.964769,0x0,5000,500000
Tornado32_D3,385.595863,2.593389,0x0,5000,500000
