function,Mhash_s,ns_per_hash,checksum_hex,loops,N
MSVec,832.422358,1.201313,0x75e6cffe,5000,500000
TornadoOnMSVecD2,309.565258,3.230337,0x0,5000,500000
TornadoOnMSVecD3,241.041508,4.148663,0x0,5000,500000
TornadoOnMSVecD4,245.377571,4.075352,0x0,5000,500000
TornadoOnMSVecD1,334.542919,2.989153,0x0,5000,500000
RapidHash32,388.117418,2.576540,0x0,5000,500000
TabOnMSVec,330.967635,3.021444,0x0,5000,500000
