function,Mhash_s,ns_per_hash,checksum_hex,loops,N,K
MS,38.214416,26.168135,0x6d8927aa,1000,500000,24500
SimpleTab32,38.054055,26.278746,0x0,1000,500000,24500
Tornado32_D3,35.021910,28.553581,0x0,1000,500000,24500
Tornado32_D1,37.061586,26.982122,0x0,1000,500000,24500
Tornado32_D4,33.916195,29.484670,0x0,1000,500000,24500
Tornado32_D2,36.288696,27.557099,0x0,1000,500000,24500
RapidHash32,37.818001,26.442904,0x0,1000,500000,24500
