function,Mhash_s,ns_per_hash,checksum_hex,loops,N,width,depth
MSVec,64.018182,15.620562,0xb897d551,1000,500000,32768,3
RapidHash32,82.442685,12.129639,0x0,1000,500000,32768,3
TornadoOnMSVecD1,60.359096,16.567529,0x0,1000,500000,32768,3
TornadoOnMSVecD3,58.136829,17.200801,0x0,1000,500000,32768,3
TornadoOnMSVecD4,55.575141,17.993662,0x0,1000,500000,32768,3
TabOnMSVec,61.205392,16.338430,0x0,1000,500000,32768,3
TornadoOnMSVecD2,59.083644,16.925159,0x0,1000,500000,32768,3
