function,Mhash_s,ns_per_hash,checksum_hex,loops,N,K
MS,492.707447,2.029602,0x6d8927aa,5000,500000,200
SimpleTab32,433.774974,2.305343,0x0,5000,500000,200
Tornado32_D1,415.453320,2.407009,0x0,5000,500000,200
Tornado32_D4,251.433049,3.977202,0x0,5000,500000,200
Tornado32_D2,361.445395,2.766671,0x0,5000,500000,200
Tornado32_D3,258.984971,3.861229,0x0,5000,500000,200
RapidHash32,392.309066,2.549012,0x0,5000,500000,200
