function,Mhash_s,ns_per_hash,checksum_hex,loops,N,K
MSVec,99.469035,10.053380,0x0,5000,500000,200
TornadoOnMSVecD1,90.257969,11.079354,0x0,5000,500000,200
TornadoOnMSVecD4,86.602719,11.546982,0x0,5000,500000,200
RapidHash32,158.351220,6.315076,0x0,5000,500000,200
TornadoOnMSVecD2,86.797211,11.521108,0x0,5000,500000,200
TabOnMSVec,90.825098,11.010173,0x0,5000,500000,200
TornadoOnMSVecD3,85.631112,11.677999,0x0,5000,500000,200
