function,Mhash_s,ns_per_hash,checksum_hex,loops,N,K
MSVec,40.495053,24.694374,0x0,1000,500000,24500
TabOnMSVec,40.428528,24.735010,0x0,1000,500000,24500
RapidHash32,46.191313,21.649092,0x0,1000,500000,24500
TornadoOnMSVecD3,35.838910,27.902634,0x0,1000,500000,24500
TornadoOnMSVecD4,34.712263,28.808275,0x0,1000,500000,24500
TornadoOnMSVecD2,38.120720,26.232453,0x0,1000,500000,24500
TornadoOnMSVecD1,38.197905,26.179448,0x0,1000,500000,24500
