function,Mhash_s,ns_per_hash,checksum_hex,loops,N,K
MSVec,391.569183,2.553827,0x0,5000,500000,200
TornadoOnMSVecD3,217.010335,4.608076,0x0,5000,500000,200
TornadoOnMSVecD1,307.768373,3.249197,0x0,5000,500000,200
RapidHash32,334.344850,2.990927,0x0,5000,500000,200
TabOnMSVec,304.152185,3.287828,0x0,5000,500000,200
TornadoOnMSVecD2,269.630381,3.708781,0x0,5000,500000,200
TornadoOnMSVecD4,200.083879,4.997904,0x0,5000,500000,200
