function,Mhash_s,ns_per_hash,checksum_hex,loops,N,width,depth
MSVec,123.529053,8.095262,0x75e6cffe,1000,500000,32768,3
TornadoOnMSVecD2,85.949505,11.634739,0x0,1000,500000,32768,3
RapidHash32,102.643494,9.742466,0x0,1000,500000,32768,3
TornadoOnMSVecD4,71.216823,14.041651,0x0,1000,500000,32768,3
TornadoOnMSVecD1,92.804939,10.775290,0x0,1000,500000,32768,3
TornadoOnMSVecD3,75.209247,13.296240,0x0,1000,500000,32768,3
TabOnMSVec,100.344062,9.965712,0x0,1000,500000,32768,3
